1,5,1
2,4,10
3,7,1
4,4,1
5,3,7
6,5,1
7,2,4
8,2,5
9,2,1
10,2,1
11,2,1
12,2,1
13,7,2
14,7,2
15,6,1
16,3,4
17,5,2
18,3,2
19,2,3
20,2,3
21,2,2
22,2,1
23,2,1
24,2,1
25,2,1
26,7,2
27,7,1
28,7,1
29,7,2
30,7,2
31,7,2
32,7,2
33,7,2
34,7,1
35,7,1
36,7,1
37,7,1
38,7,1
39,7,1
40,7,1
41,7,1
42,7,2
43,7,1
44,7,3
45,7,1
46,7,1
47,7,1
48,7,1
49,7,1
50,7,1
51,7,1
52,7,1
53,7,1
54,3,1
54,4,3
55,2,1
56,4,9
57,4,3
58,5,1
59,5,2
60,5,1
61,2,1
61,3,9
62,6,1
63,1,2
64,1,1
65,1,4
66,1,1
64,2,2
67,3,1
68,3,2
63,3,1
64,3,3
65,4,8
63,4,12
69,4,3
67,4,3
64,4,19
70,4,1
66,4,1
67,5,5
71,5,1
72,5,2
70,5,2
73,5,2
74,5,2
64,5,1
75,5,1
76,5,1
77,5,1
78,5,1
68,5,1
79,5,1
80,5,1
65,5,1
81,5,1
63,5,1
82,5,1
64,6,1
83,6,1
84,2,1
85,6,1
86,3,1
87,4,5
88,4,1
89,5,1
90,3,2
91,4,1
92,5,2
93,2,1
94,4,1
95,4,1
96,4,3
97,1,1
98,1,4
99,1,1
100,1,2
101,1,2
102,2,1
103,6,1
104,1,2
105,5,1
106,2,1
107,5,5
108,5,1
109,5,1
110,6,1
111,5,1
112,1,4
113,2,1
113,4,2
114,6,1
115,2,1
115,3,2
116,3,1
117,3,1
118,3,2
119,2,1
120,1,2
121,4,1
122,5,1
123,4,1
124,3,6
125,5,4
124,5,4
126,5,3
127,5,3
128,5,3
129,5,4
130,5,3
131,5,3
132,5,3
133,5,3
134,5,3
135,5,1
131,7,1
132,7,1
133,7,1
134,7,1
125,7,1
124,7,1
136,7,1
137,5,2
138,2,11
139,2,1
140,2,1
141,2,1
142,7,1
143,6,1
144,2,1
145,7,2
146,7,2
147,7,1
148,7,1
149,3,1
150,4,1
151,3,2
152,1,1
153,2,9
154,2,1
155,2,1
153,5,5
156,3,1
157,1,3
158,1,4
159,1,8
160,1,1
161,1,2
162,1,2
163,1,2
164,1,2
165,1,2
165,2,1
166,2,1
167,2,1
168,2,1
169,2,1
167,3,1
170,3,1
171,3,1
172,3,1
173,3,1
174,3,1
175,3,1
176,3,1
168,3,1
177,3,1
178,3,1
179,3,1
180,3,1
181,3,1
182,3,1
160,3,1
161,3,1
162,3,2
159,3,2
163,3,2
164,3,2
165,3,2
157,3,2
158,3,2
159,4,1
163,4,1
164,4,1
165,4,1
157,4,1
158,4,1
178,5,1
179,5,1
180,5,1
181,5,1
182,5,1
160,5,1
161,5,1
162,5,1
159,5,1
163,5,1
164,5,1
165,5,1
157,5,1
158,5,1
183,6,1
184,6,1
159,7,3
178,7,2
179,7,2
180,7,2
181,7,2
182,7,2
160,7,2
161,7,2
162,7,2
163,7,2
164,7,2
165,7,2
157,7,2
158,7,1
185,3,2
185,4,1
185,6,1
186,2,2
